title,link,source,published_str,pub_date,doi,last_author,abstract,abstract_source,must_have_abstract
Desolvated cations promote CO2 electroreduction through partial covalent interactions,https://www.nature.com/articles/s41929-026-01604-w,Nature Catalysis,2026-08-31 00:00:00 UTC,2026-08-31 00:00:00+00:00,10.1038/s41929-026-01604-w,Peidong Yang,The mechanism of cation enhancement in electrocatalytic CO2 reduction has been widely debated but spectroscopic evidence under operating conditions is lacking. Now operando X-ray and surface-enhanced infrared spectroscopy are combined with theory to reveal that desolvated Cs+ cations enable CO2 activation at substantially reduced overpotentials through partial covalent interactions.,rss_nature,0
The leap second is dead. Long live the leap hour?,https://www.nature.com/articles/d41586-026-02669-0,Nature,2026-08-31 00:00:00 UTC,2026-08-31 00:00:00+00:00,10.1038/d41586-026-02669-0,Elizabeth Gibney,Fear of a possible ‘negative’ leap second is accelerating plans to abolish the adjustment.,rss_nature,0
Tuning moiré twist angles enhances tensile plasticity in bulk van der Waals crystals,https://www.nature.com/articles/s41563-026-02731-2,Nature Materials,2026-08-31 00:00:00 UTC,2026-08-31 00:00:00+00:00,10.1038/s41563-026-02731-2,Xun Shi,"Moiré twisting breaks the inherent symmetry of crystal structures, providing a promising method for tuning emergent quantum phenomena and physical properties in layered materials. Here we demonstrate that moiré twisting can also be harnessed to effectively enhance the tensile plasticity of bulk layered van der Waals crystals. We show that interlayer moiré twisting, spanning a broad range of twist angles commensurate with the crystal's translational symmetry, can be controllably introduced through simple off-axis compression in ternary bulk layered van der Waals crystals. It facilitates efficient stress relaxation under mechanical loading with a further increase in the moiré twist angles and enables a substantial increase by up to 360% in room-temperature macroscopic tensile ductility, reaching 30% tensile strain along the a-b plane. Moreover, moiré twisting occurs only between layers and, thus, negligibly affects the in-plane electronic properties. By establishing tunable moiré twisting as an effective mechanism for plastic deformation, this work provides a broadly applicable strategy for enhancing tensile ductility in bulk layered materials.",pubmed,0
The meta way of thinking,https://www.nature.com/articles/s41563-026-02710-7,Nature Materials,2026-08-31 00:00:00 UTC,2026-08-31 00:00:00+00:00,10.1038/s41563-026-02710-7,Nicolò Maccaferri,"Beyond enabling new optical behaviours, metamaterials influence our thinking of wave–matter interactions in science and engineering.",rss_nature,0
Semiconducting polymers assembled to perfection,https://www.nature.com/articles/s41563-026-02720-5,Nature Materials,2026-08-31 00:00:00 UTC,2026-08-31 00:00:00+00:00,10.1038/s41563-026-02720-5,Ying Diao,Single-crystalline polymers with remarkable long-range order and charge carrier mobilities are fabricated by regulating solution-state aggregates and assembly pathways.,rss_nature,0
Order from disorder: do we need a new law of physics?,https://www.nature.com/articles/d41586-026-02685-0,Nature,2026-08-31 00:00:00 UTC,2026-08-31 00:00:00+00:00,10.1038/d41586-026-02685-0,Graham Shields,A radical proposal that evolutionary pressures apply to atoms as much as animals should provoke scientific debate.,rss_nature,0
What’s your lab’s archetype? The answer could inform how you use AI,https://www.nature.com/articles/d41586-026-02543-z,Nature,2026-08-31 00:00:00 UTC,2026-08-31 00:00:00+00:00,10.1038/d41586-026-02543-z,Jenna Ahart,"A white paper gives research groups four priority models, each of which uses artificial intelligence differently.",rss_nature,0
Scale of snakebites estimated globally,https://www.nature.com/articles/d41586-026-02642-x,Nature,2026-08-31 00:00:00 UTC,2026-08-31 00:00:00+00:00,10.1038/d41586-026-02642-x,Mary Abraham,Using available data and modelling to assess the incidence of snakebites and associated deaths provides information needed for efforts to tackle this public-health concern.,rss_nature,0
"Land-use optimization for food security, bioenergy and forest conservation in Indonesia",https://www.nature.com/articles/s41893-026-01923-7,Nature Sustainability,2026-08-31 00:00:00 UTC,2026-08-31 00:00:00+00:00,10.1038/s41893-026-01923-7,Nathan Hultman,"Balancing food and energy security is a key priority for Indonesia, but the associated land conversion could induce deforestation. This study examines how best to optimize energy security (biodiesel blend ratios of 50%) and food security (rice cropping) given land constraints and current policy.",rss_nature,0
Urban design interventions reduce fear of crime in public spaces in gender-sensitive ways,https://www.nature.com/articles/s44284-026-00494-0,Nature Cities,2026-08-31 00:00:00 UTC,2026-08-31 00:00:00+00:00,10.1038/s44284-026-00494-0,Davide Luca,"Abstract
                  Fear of crime in public spaces is a major policy problem worldwide. Environmental Crime Prevention proposes that modifying the built environment can reduce the fear of crime, but key questions remain: are these interventions equally effective across genders, and what intensity maximizes safety perceptions while optimizing costs? Here we evaluated three interventions: ‘Eyes on the Street’ (adding windows to blind walls), neutral stimuli (removing graffiti by repainting walls) and ‘Nature-Based Solutions’ (integrating tidy vegetation into urban infrastructure) in the context of ‘Broken Windows’ disorder. Interventions were applied at varying intensities across four types of public spaces. Using a randomized experiment in Chile with photo simulations and an adapted Positive and Negative Affective Schedule, we collected 18,150 perception ratings from 2,028 respondents. The results show that perceived safety improvements are positive but nonlinear, indicating diminishing returns beyond a certain intervention intensity. Critically, responses were highly gender specific: interventions were more effective for men, suggesting that environmental changes alone do not fully address women’s perceived insecurity.",crossref,0
